================================================= Global Summary Table =================================================
Benchmark                  Model           Freq       IPC  Accuracy  Coverage  BW_Share |   Issued  Useful Useless    Late     Hit  Others
bfs-10.trace.gz            no256           1200    0.2456     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder256   1200    0.3591    62.92%    60.96%    61.59% |   968827  609613  257059   61689   20232   20234
bfs-10.trace.gz            pythia256       1200    0.3637    64.21%    62.42%    62.67% |   972186  624199  258736   63911    5316   20024
bfs-10.trace.gz            no512           1200    0.2458     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder512   1200    0.3604    63.21%    61.23%    63.74% |   968827  612350  249349   61394   24648   21086
bfs-10.trace.gz            pythia512       1200    0.3658    64.61%    62.91%    65.02% |   973810  629133  251012   64453    8323   20889
bfs-10.trace.gz            no1024          1200    0.2476     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder1024  1200    0.3643    63.19%    61.21%    68.87% |   968828  612167  238375   61440   33749   23097
bfs-10.trace.gz            pythia1024      1200    0.3694    64.47%    62.66%    70.08% |   971867  626607  238798   64105   19542   22815
bfs-10.trace.gz            no2048          1200    0.2496     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder2048  1200    0.3680    62.83%    60.87%    69.23% |   968828  608682  230822   61645   41024   26655
bfs-10.trace.gz            pythia2048      1200    0.3731    64.06%    62.28%    70.41% |   972227  622832  230619   64271   28212   26293
bfs-10.trace.gz            no4096          1200    0.2503     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder4096  1200    0.3692    62.62%    60.67%    69.34% |   968828  606703  221810   62026   44210   34079
bfs-10.trace.gz            pythia4096      1200    0.3747    63.98%    62.30%    70.68% |   973805  623027  221499   64918   30683   33678
bfs-10.trace.gz            no256           2400    0.2462     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder256   2400    0.3604    63.00%    61.03%    61.64% |   968827  610331  257059   60968   20236   20233
bfs-10.trace.gz            pythia256       2400    0.3650    64.27%    62.48%    62.71% |   972189  624784  258739   63326    5316   20024
bfs-10.trace.gz            no512           2400    0.2464     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder512   2400    0.3617    63.26%    61.29%    63.78% |   968827  612927  249349   60815   24652   21084
bfs-10.trace.gz            pythia512       2400    0.3671    64.66%    62.97%    65.06% |   973821  629684  251015   63909    8322   20891
bfs-10.trace.gz            no1024          2400    0.2482     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder1024  2400    0.3656    63.26%    61.28%    68.93% |   968828  612852  238375   60753   33754   23094
bfs-10.trace.gz            pythia1024      2400    0.3714    64.65%    62.95%    70.31% |   973640  629500  238451   63944   18894   22851
bfs-10.trace.gz            no2048          2400    0.2502     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder2048  2400    0.3693    62.88%    60.92%    69.27% |   968828  609202  230822   61124   41027   26653
bfs-10.trace.gz            pythia2048      2400    0.3750    64.23%    62.54%    70.62% |   973807  625474  230324   64068   27613   26328
bfs-10.trace.gz            no4096          2400    0.2509     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder4096  2400    0.3705    62.70%    60.74%    69.40% |   968828  607444  221810   61284   44220   34070
bfs-10.trace.gz            pythia4096      2400    0.3761    64.04%    62.36%    70.73% |   973809  623643  221502   64302   30684   33678
bfs-10.trace.gz            no256           4800    0.2464     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder256   4800    0.3608    63.02%    61.05%    61.65% |   968826  610538  257058   60761   20236   20233
bfs-10.trace.gz            pythia256       4800    0.3654    64.28%    62.49%    62.72% |   972181  624899  258734   63207    5317   20024
bfs-10.trace.gz            no512           4800    0.2465     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder512   4800    0.3620    63.29%    61.31%    63.80% |   968826  613169  249348   60573   24653   21083
bfs-10.trace.gz            pythia512       4800    0.3675    64.67%    62.98%    65.07% |   973807  629782  251011   63800    8323   20891
bfs-10.trace.gz            no1024          4800    0.2484     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder1024  4800    0.3660    63.28%    61.31%    68.95% |   968827  613114  238374   60491   33756   23092
bfs-10.trace.gz            pythia1024      4800    0.3719    64.67%    62.97%    70.33% |   973803  629740  238443   63870   18896   22854
bfs-10.trace.gz            no2048          4800    0.2503     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder2048  4800    0.3698    62.92%    60.95%    69.30% |   968827  609572  230821   60754   41027   26653
bfs-10.trace.gz            pythia2048      4800    0.3754    64.24%    62.56%    70.63% |   973812  625601  230325   63944   27614   26328
bfs-10.trace.gz            no4096          4800    0.2510     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder4096  4800    0.3709    62.73%    60.77%    69.42% |   968827  607708  221809   61020   44221   34069
bfs-10.trace.gz            pythia4096      4800    0.3765    64.05%    62.37%    70.74% |   973829  623762  221502   64200   30686   33679
bfs-10.trace.gz            no256           9600    0.2464     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder256   9600    0.3609    63.02%    61.05%    61.65% |   968827  610556  257059   60743   20236   20233
bfs-10.trace.gz            pythia256       9600    0.3655    64.28%    62.49%    62.72% |   972181  624902  258734   63204    5317   20024
bfs-10.trace.gz            no512           9600    0.2466     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder512   9600    0.3621    63.30%    61.32%    63.81% |   968827  613246  249349   60496   24652   21084
bfs-10.trace.gz            pythia512       9600    0.3676    64.67%    62.98%    65.07% |   973807  629792  251011   63790    8323   20891
bfs-10.trace.gz            no1024          9600    0.2484     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder1024  9600    0.3661    63.29%    61.31%    68.95% |   968828  613161  238375   60444   33754   23094
bfs-10.trace.gz            pythia1024      9600    0.3720    64.67%    62.97%    70.33% |   973803  629750  238443   63860   18896   22854
bfs-10.trace.gz            no2048          9600    0.2504     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder2048  9600    0.3699    62.92%    60.96%    69.30% |   968828  609630  230822   60696   41027   26653
bfs-10.trace.gz            pythia2048      9600    0.3755    64.24%    62.56%    70.64% |   973812  625609  230325   63936   27614   26328
bfs-10.trace.gz            no4096          9600    0.2511     0.00%     0.00%     0.00% |        0       0       0       0       0       0
bfs-10.trace.gz            pathfinder4096  9600    0.3710    62.73%    60.78%    69.43% |   968828  607790  221810   60938   44220   34070
bfs-10.trace.gz            pythia4096      9600    0.3766    64.05%    62.37%    70.74% |   973829  623781  221502   64181   30686   33679
cc-5.trace.gz              no256           150     0.0804     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder256   150     0.0521    11.42%    10.16%    45.06% |   889550  101594  724644    4348   44517   14447
cc-5.trace.gz              pythia256       150     0.0672    24.73%     9.82%    27.13% |   397041   98181  277574    1526   16335    3425
cc-5.trace.gz              no512           150     0.0830     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder512   150     0.0543    13.87%    12.34%    44.77% |   889552  123402  655547    4296   90611   15696
cc-5.trace.gz              pythia512       150     0.0696    27.19%    10.67%    27.19% |   392489  106721  246372    1587   33846    3963
cc-5.trace.gz              no1024          150     0.1007     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder1024  150     0.0615    17.68%    15.72%    47.37% |   889567  157269  525463    4020  185488   17327
cc-5.trace.gz              pythia1024      150     0.0813    31.62%    12.34%    30.99% |   390278  123419  192974    1346   67960    4579
cc-5.trace.gz              no2048          150     0.1532     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder2048  150     0.0901    20.12%    17.89%    53.95% |   889587  178944  313025    4193  375071   18354
cc-5.trace.gz              pythia2048      150     0.1241    34.75%    12.81%    38.68% |   368645  128116  107114    2463  125841    5111
cc-5.trace.gz              no4096          150     0.2970     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder4096  150     0.2697    13.17%    11.71%    64.90% |   889591  117128   40258   18068  699798   14339
cc-5.trace.gz              pythia4096      150     0.3084    30.62%     9.69%    56.23% |   316514   96908   17578   10744  187608    3676
cc-5.trace.gz              no256           300     0.1287     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder256   300     0.0979    11.46%    10.19%    45.08% |   889552  101935  724651    4025   44859   14082
cc-5.trace.gz              pythia256       300     0.1264    40.31%     9.08%    17.52% |   225398   90862  124989     687    7537    1323
cc-5.trace.gz              no512           300     0.1323     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder512   300     0.1015    13.92%    12.38%    44.80% |   889553  123785  655548    3940   90966   15314
cc-5.trace.gz              pythia512       300     0.1300    42.55%     9.56%    18.15% |   224729   95624  111448     691   15593    1373
cc-5.trace.gz              no1024          300     0.1552     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder1024  300     0.1138    17.73%    15.77%    47.41% |   889567  157754  525467    3550  185810   16986
cc-5.trace.gz              pythia1024      300     0.1521    46.05%    10.20%    21.54% |   221551  102021   86833     580   30984    1133
cc-5.trace.gz              no2048          300     0.2138     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder2048  300     0.1621    20.25%    18.01%    54.08% |   889586  180179  313029    2965  375293   18120
cc-5.trace.gz              pythia2048      300     0.2180    46.30%    10.70%    30.92% |   231228  107062   56409     744   65867    1146
cc-5.trace.gz              no4096          300     0.3232     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder4096  300     0.3938    14.69%    13.07%    70.16% |   889591  130714   40260    4485  699853   14279
cc-5.trace.gz              pythia4096      300     0.3966    36.75%    10.33%    59.06% |   281225  103362   15290    2226  158299    2048
cc-5.trace.gz              no256           600     0.1701     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder256   600     0.1505    11.62%    10.34%    45.16% |   889556  103378  724664    2583   45283   13648
cc-5.trace.gz              pythia256       600     0.1783    38.40%     9.16%    18.38% |   238533   91592  137057     357    8184    1343
cc-5.trace.gz              no512           600     0.1730     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder512   600     0.1550    14.07%    12.52%    44.88% |   889554  125201  655554    2522   91373   14904
cc-5.trace.gz              pythia512       600     0.1820    40.90%     9.69%    18.93% |   237026   96954  121277     299   17106    1390
cc-5.trace.gz              no1024          600     0.1910     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder1024  600     0.1707    17.88%    15.90%    47.49% |   889566  159056  525470    2246  186158   16636
cc-5.trace.gz              pythia1024      600     0.2024    42.30%    10.58%    23.40% |   250104  105794  105058     315   37354    1583
cc-5.trace.gz              no2048          600     0.2343     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder2048  600     0.2279    20.39%    18.13%    54.21% |   889587  181367  313033    1770  375524   17893
cc-5.trace.gz              pythia2048      600     0.2591    40.35%    11.56%    34.37% |   286445  115589   77368     442   90641    2405
cc-5.trace.gz              no4096          600     0.3278     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder4096  600     0.4180    14.92%    13.27%    70.95% |   889587  132763   40259    2435  699880   14250
cc-5.trace.gz              pythia4096      600     0.4128    27.68%    11.19%    63.32% |   404446  111958   22256    1971  263303    4958
cc-5.trace.gz              no256           1200    0.1855     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder256   1200    0.1910    11.70%    10.40%    45.20% |   889555  104075  724669    1815   45457   13539
cc-5.trace.gz              pythia256       1200    0.2039    32.97%     9.34%    21.09% |   283520   93463  177371     267   10662    1757
cc-5.trace.gz              no512           1200    0.1879     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder512   1200    0.1948    14.15%    12.58%    44.91% |   889553  125874  655553    1783   91541   14802
cc-5.trace.gz              pythia512       1200    0.2069    35.30%    10.22%    22.03% |   289477  102190  162457     274   22616    1940
cc-5.trace.gz              no1024          1200    0.2026     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder1024  1200    0.2083    17.94%    15.96%    47.53% |   889568  159607  525475    1638  186313   16535
cc-5.trace.gz              pythia1024      1200    0.2232    36.72%    11.24%    26.62% |   306223  112437  140175     287   50811    2513
cc-5.trace.gz              no2048          1200    0.2407     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder2048  1200    0.2570    20.44%    18.18%    54.26% |   889585  181818  313033    1302  375628   17804
cc-5.trace.gz              pythia2048      1200    0.2719    34.93%    12.63%    38.27% |   361552  126290  105514     455  125135    4158
cc-5.trace.gz              no4096          1200    0.3292     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder4096  1200    0.4222    14.95%    13.30%    71.04% |   889588  132998   40259    2200  699884   14247
cc-5.trace.gz              pythia4096      1200    0.4203    23.68%    11.95%    66.64% |   504687  119529   26738    2036  349423    6961
cc-5.trace.gz              no256           2400    0.1902     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder256   2400    0.2055    11.71%    10.42%    45.20% |   889577  104178  724685    1594   45519   13601
cc-5.trace.gz              pythia256       2400    0.2111    25.49%     9.68%    26.31% |   379715   96790  263870     324   15969    2762
cc-5.trace.gz              no512           2400    0.1925     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder512   2400    0.2086    14.16%    12.59%    44.92% |   889576  125975  655565    1577   91606   14853
cc-5.trace.gz              pythia512       2400    0.2138    28.21%    10.90%    27.03% |   386336  108998  239919     375   33822    3222
cc-5.trace.gz              no1024          2400    0.2064     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder1024  2400    0.2202    17.95%    15.97%    47.54% |   889581  159707  525484    1460  186382   16548
cc-5.trace.gz              pythia1024      2400    0.2277    30.38%    12.38%    31.75% |   407698  123846  205526     377   73548    4401
cc-5.trace.gz              no2048          2400    0.2428     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder2048  2400    0.2643    20.44%    18.18%    54.26% |   889589  181868  313034    1230  375667   17790
cc-5.trace.gz              pythia2048      2400    0.2735    29.90%    14.05%    42.98% |   470184  140579  147514     558  174723    6810
cc-5.trace.gz              no4096          2400    0.3296     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder4096  2400    0.4230    14.95%    13.30%    71.06% |   889588  133028   40259    2169  699886   14246
cc-5.trace.gz              pythia4096      2400    0.4213    21.30%    12.23%    67.74% |   574176  122284   29750    2055  411911    8176
cc-5.trace.gz              no256           4800    0.1917     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder256   4800    0.2087    11.72%    10.42%    45.21% |   889574  104234  724684    1504   45566   13586
cc-5.trace.gz              pythia256       4800    0.2124    19.07%    10.13%    33.31% |   531291  101329  401384     559   23424    4595
cc-5.trace.gz              no512           4800    0.1939     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder512   4800    0.2116    14.17%    12.60%    44.92% |   889570  126023  655564    1486   91656   14841
cc-5.trace.gz              pythia512       4800    0.2155    22.06%    11.88%    33.76% |   538497  118806  363764     591   49768    5568
cc-5.trace.gz              no1024          4800    0.2076     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder1024  4800    0.2227    17.95%    15.97%    47.54% |   889580  159706  525482    1430  186407   16555
cc-5.trace.gz              pythia1024      4800    0.2276    24.97%    13.72%    37.65% |   549655  137265  298953     579  105700    7158
cc-5.trace.gz              no2048          4800    0.2435     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder2048  4800    0.2658    20.45%    18.18%    54.27% |   889592  181881  313035    1215  375677   17784
cc-5.trace.gz              pythia2048      4800    0.2725    26.58%    15.32%    46.68% |   576550  153224  188828     653  224663    9182
cc-5.trace.gz              no4096          4800    0.3298     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder4096  4800    0.4232    14.96%    13.30%    71.06% |   889588  133039   40259    2158  699886   14246
cc-5.trace.gz              pythia4096      4800    0.4217    21.32%    12.25%    67.69% |   574669  122495   30027    2099  411835    8213
cc-5.trace.gz              no256           9600    0.1920     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder256   9600    0.2092    11.72%    10.42%    45.21% |   889576  104233  724686    1500   45572   13585
cc-5.trace.gz              pythia256       9600    0.2127    17.92%    10.37%    35.28% |   578906  103717  443790     742   25291    5366
cc-5.trace.gz              no512           9600    0.1941     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder512   9600    0.2121    14.17%    12.60%    44.92% |   889571  126019  655563    1488   91660   14841
cc-5.trace.gz              pythia512       9600    0.2148    20.44%    11.80%    35.22% |   577347  118028  398698     716   53556    6349
cc-5.trace.gz              no1024          9600    0.2078     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder1024  9600    0.2231    17.95%    15.97%    47.54% |   889579  159722  525481    1417  186415   16544
cc-5.trace.gz              pythia1024      9600    0.2273    24.28%    14.00%    38.67% |   577015  140072  316867     683  111639    7754
cc-5.trace.gz              no2048          9600    0.2436     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder2048  9600    0.2661    20.45%    18.18%    54.27% |   889593  181883  313034    1211  375680   17785
cc-5.trace.gz              pythia2048      9600    0.2731    26.75%    15.48%    46.92% |   578796  154820  189114     653  225045    9164
cc-5.trace.gz              no4096          9600    0.3298     0.00%     0.00%     0.00% |        0       0       0       0       0       0
cc-5.trace.gz              pathfinder4096  9600    0.4233    14.96%    13.30%    71.06% |   889587  133040   40258    2156  699887   14246
cc-5.trace.gz              pythia4096      9600    0.4219    21.31%    12.26%    67.71% |   575406  122614   29762    2094  412652    8284
